work_year,salary_in_usd,employment_type,industry,job_title,season,company_location,skills,quarter,posting_date,experience_level,skill_count
2020,325000,Full-time,General,Director of Data Science,Autumn,United States,"Communication, Python, SQL",4,10/24/2020,Executive,3
2020,42000,Full-time,Healthcare,Research Scientist,Autumn,Netherlands,"Data Analysis, Python, R, Statistics",4,10/26/2020,Entry Level,4
2020,720000,Full-time,Technology,Data Engineer,Spring,others,"ETL, Python, SQL, Spark",1,3/9/2020,Executive,4
2020,100000,Contractor,Finance,BUnited Statesiness Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",2,5/8/2020,Mid Level,4
2020,157000,Full-time,Technology,Machine Learning Manager,Autumn,Canada,"Deep Learning, Python, Scikit-learn, TensorFlow",4,11/27/2020,Senior Level,4
2020,51999,Full-time,Technology,Data Engineering Manager,Spring,Germany,"ETL, Python, SQL, Spark",2,5/23/2020,Mid Level,4
2020,70000,Full-time,Technology,Big Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",3,7/10/2020,Mid Level,4
2020,60000,Full-time,Technology,Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",2,6/9/2020,Mid Level,4
2020,450000,Full-time,Healthcare,Research Scientist,Autumn,United States,"Data Analysis, Python, R, Statistics",4,11/19/2020,Executive,4
2020,41000,Full-time,Finance,Data Analyst,Summer,France,"Excel, Power BI, SQL, Tableau",3,7/28/2020,Entry Level,4
2020,65000,Full-time,Technology,Data Engineer,Summer,others,"ETL, Python, SQL, Spark",2,6/10/2020,Mid Level,4
2020,103000,Full-time,General,Data Science Consultant,Spring,United States,"Communication, Python, SQL",2,5/1/2020,Senior Level,3
2020,250000,Full-time,Technology,Machine Learning Engineer,Autumn,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",3,9/2/2020,Executive,4
2020,10000,Full-time,Finance,Data Analyst,Winter,others,"Excel, Power BI, SQL, Tableau",1,2/13/2020,Entry Level,4
2020,138000,Full-time,Technology,Machine Learning Engineer,Winter,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",1,2/3/2020,Senior Level,4
2020,45760,Full-time,Technology,Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",2,6/27/2020,Entry Level,4
2020,70000,Full-time,Technology,Data Engineering Manager,Autumn,Spain,"ETL, Python, SQL, Spark",4,10/15/2020,Mid Level,4
2020,44000,Full-time,Technology,Machine Learning Infrastructure Engineer,Winter,Portugal,"Deep Learning, Python, Scikit-learn, TensorFlow",1,2/5/2020,Entry Level,4
2020,106000,Full-time,Technology,Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",2,6/7/2020,Senior Level,4
2020,88000,Full-time,Technology,Data Engineer,Spring,United Kingdom,"ETL, Python, SQL, Spark",2,4/18/2020,Mid Level,4
2020,14000,Part-time,General,ML Engineer,Autumn,Germany,"Communication, Python, SQL",4,11/25/2020,Entry Level,3
2020,60000,Full-time,Technology,Data Scientist,Summer,United Kingdom,"Machine Learning, Python, SQL, Statistics",2,6/9/2020,Mid Level,4
2020,188000,Full-time,Technology,Data Engineer,Autumn,United States,"ETL, Python, SQL, Spark",4,11/15/2020,Senior Level,4
2020,105000,Full-time,Technology,Data Scientist,Spring,United States,"Machine Learning, Python, SQL, Statistics",2,5/22/2020,Senior Level,4
2020,61500,Full-time,Technology,Data Engineer,Summer,France,"ETL, Python, SQL, Spark",2,6/17/2020,Mid Level,4
2020,450000,Full-time,Finance,Data Analyst,Winter,India,"Excel, Power BI, SQL, Tableau",4,12/16/2020,Executive,4
2020,91000,Full-time,Finance,Data Analyst,Autumn,United States,"Excel, Power BI, SQL, Tableau",4,10/7/2020,Mid Level,4
2020,300000,Full-time,Technology,AI Scientist,Spring,others,"Machine Learning, NLP, Neural Networks, Python",2,4/11/2020,Executive,4
2020,48000,Full-time,Technology,Data Engineer,Spring,Germany,"ETL, Python, SQL, Spark",1,3/27/2020,Entry Level,4
2020,60000,Full-time,General,Computer Vision Engineer,Autumn,United States,"Communication, Python, SQL",3,9/23/2020,Mid Level,3
2020,130000,Full-time,Technology,Principal Data Scientist,Spring,Germany,"Machine Learning, Python, SQL, Statistics",2,4/4/2020,Senior Level,4
2020,34000,Full-time,Technology,Data Scientist,Summer,Spain,"Machine Learning, Python, SQL, Statistics",3,8/13/2020,Entry Level,4
2020,118000,Full-time,Technology,Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",2,6/13/2020,Senior Level,4
2020,120000,Full-time,Technology,Data Scientist,Winter,United States,"Machine Learning, Python, SQL, Statistics",1,2/12/2020,Senior Level,4
2020,138350,Full-time,Technology,Data Scientist,Winter,United States,"Machine Learning, Python, SQL, Statistics",1,2/23/2020,Senior Level,4
2020,110000,Full-time,Technology,Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",2,6/16/2020,Senior Level,4
2020,130800,Full-time,Technology,Data Engineer,Autumn,United States,"ETL, Python, SQL, Spark",4,10/3/2020,Senior Level,4
2020,19000,Part-time,Technology,Data Scientist,Spring,others,"Machine Learning, Python, SQL, Statistics",2,4/10/2020,Entry Level,4
2020,412000,Full-time,Technology,Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",3,8/11/2020,Executive,4
2020,40000,Full-time,Technology,Machine Learning Engineer,Summer,others,"Deep Learning, Python, Scikit-learn, TensorFlow",2,6/26/2020,Entry Level,4
2020,55000,Full-time,Technology,Data Scientist,Spring,Germany,"Machine Learning, Python, SQL, Statistics",1,3/20/2020,Mid Level,4
2020,43200,Full-time,Technology,Data Scientist,Autumn,Germany,"Machine Learning, Python, SQL, Statistics",4,10/10/2020,Entry Level,4
2020,190200,Full-time,General,Data Science Manager,Winter,United States,"Communication, Python, SQL",4,12/21/2020,Senior Level,3
2020,105000,Full-time,Technology,Data Scientist,Winter,United States,"Machine Learning, Python, SQL, Statistics",1,2/28/2020,Senior Level,4
2020,80000,Full-time,Technology,Data Scientist,Spring,others,"Machine Learning, Python, SQL, Statistics",2,5/10/2020,Mid Level,4
2020,55000,Full-time,Technology,Data Scientist,Summer,others,"Machine Learning, Python, SQL, Statistics",2,6/16/2020,Mid Level,4
2020,37000,Full-time,Technology,Data Scientist,Summer,France,"Machine Learning, Python, SQL, Statistics",3,8/2/2020,Entry Level,4
2021,60000,Full-time,Healthcare,Research Scientist,Winter,United Kingdom,"Data Analysis, Python, R, Statistics",1,1/5/2021,Mid Level,4
2021,150000,Full-time,Finance,BI Data Analyst,Autumn,United States,"Excel, Power BI, SQL, Tableau",4,11/3/2021,Senior Level,4
2021,235000,Full-time,General,Head of Data,Autumn,United States,"Communication, Python, SQL",4,10/9/2021,Executive,3
2021,45000,Full-time,Technology,Data Scientist,Summer,France,"Machine Learning, Python, SQL, Statistics",3,7/7/2021,Entry Level,4
2021,100000,Full-time,Finance,BI Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",3,8/1/2021,Mid Level,4
2021,400000,Part-time,General,3D Computer Vision Researcher,Autumn,India,"Communication, Python, SQL",4,10/8/2021,Executive,3
2021,270000,Contractor,General,ML Engineer,Spring,United States,"Communication, Python, SQL",2,4/13/2021,Executive,3
2021,80000,Full-time,Finance,Data Analyst,Winter,United States,"Excel, Power BI, SQL, Tableau",4,12/20/2021,Mid Level,4
2021,67000,Full-time,General,Data Analytics Engineer,Winter,Germany,"Communication, Python, SQL",4,12/21/2021,Mid Level,3
2021,140000,Full-time,Technology,Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",1,2/8/2021,Senior Level,4
2021,68000,Full-time,Technology,Applied Data Scientist,Summer,Canada,"Machine Learning, Python, SQL, Statistics",3,7/3/2021,Mid Level,4
2021,40000,Full-time,Technology,Machine Learning Engineer,Winter,Spain,"Deep Learning, Python, Scikit-learn, TensorFlow",1,1/5/2021,Entry Level,4
2021,130000,Full-time,General,Director of Data Science,Spring,Poland,"Communication, Python, SQL",1,3/23/2021,Senior Level,3
2021,110000,Full-time,Technology,Data Engineer,Summer,Poland,"ETL, Python, SQL, Spark",2,6/25/2021,Senior Level,4
2021,50000,Full-time,Finance,Data Analyst,Winter,France,"Excel, Power BI, SQL, Tableau",1,1/7/2021,Entry Level,4
2021,110000,Full-time,General,Data Analytics Engineer,Autumn,United States,"Communication, Python, SQL",3,9/16/2021,Senior Level,3
2021,170000,Full-time,Finance,Lead Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",2,6/27/2021,Senior Level,4
2021,80000,Full-time,Finance,Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",3,8/9/2021,Mid Level,4
2021,75000,Full-time,Finance,Marketing Data Analyst,Summer,others,"Excel, Power BI, SQL, Tableau",3,8/8/2021,Mid Level,4
2021,65000,Full-time,General,Data Science Consultant,Autumn,Germany,"Communication, Python, SQL",3,9/1/2021,Mid Level,3
2021,1450000,Full-time,Finance,Lead Data Analyst,Spring,India,"Excel, Power BI, SQL, Tableau",1,3/11/2021,Executive,4
2021,276000,Full-time,Technology,Lead Data Engineer,Autumn,United States,"ETL, Python, SQL, Spark",4,10/26/2021,Executive,4
2021,2200000,Full-time,Technology,Data Scientist,Winter,India,"Machine Learning, Python, SQL, Statistics",1,2/26/2021,Executive,4
2021,120000,Full-time,Technology,Cloud Data Engineer,Winter,others,"ETL, Python, SQL, Spark",1,1/10/2021,Senior Level,4
2021,12000,Part-time,Technology,AI Scientist,Autumn,United States,"Deep Learning, NLP, Neural Networks, Python",4,11/2/2021,Entry Level,4
2021,450000,Full-time,Finance,Financial Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",3,8/10/2021,Executive,4
2021,70000,Full-time,Technology,Computer Vision Software Engineer,Spring,United States,"Git, Java, Python, System Design",2,4/2/2021,Mid Level,4
2021,81000,Full-time,Technology,Computer Vision Software Engineer,Winter,United States,"Git, Java, Python, System Design",1,1/14/2021,Mid Level,4
2021,75000,Full-time,Finance,Data Analyst,Autumn,United States,"Excel, Power BI, SQL, Tableau",4,11/7/2021,Mid Level,4
2021,150000,Full-time,Technology,Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",3,7/9/2021,Senior Level,4
2021,11000000,Full-time,Finance,BI Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",2,4/14/2021,Executive,4
2021,62000,Full-time,Finance,Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",1,3/22/2021,Mid Level,4
2021,73000,Full-time,Technology,Data Scientist,Spring,United States,"Machine Learning, Python, SQL, Statistics",2,4/22/2021,Mid Level,4
2021,37456,Full-time,Finance,Data Analyst,Summer,United Kingdom,"Excel, Power BI, SQL, Tableau",2,6/15/2021,Entry Level,4
2021,235000,Full-time,HealthCare,Research Scientist,Autumn,Canada,"Data Analysis, Python, R, Statistics",4,11/21/2021,Executive,4
2021,115000,Full-time,Technology,Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",4,12/22/2021,Senior Level,4
2021,150000,Full-time,Technology,Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",2,6/15/2021,Senior Level,4
2021,2250000,Full-time,Technology,Data EngIndiaeer,Summer,India,"ETL, Python, SQL, Spark",2,6/25/2021,Executive,4
2021,80000,Full-time,Technology,Machine Learning Engineer,Summer,Germany,"Machine Learning, Python, Scikit-learn, TensorFlow",2,6/21/2021,Mid Level,4
2021,82500,Full-time,Technology,Director of Data Engineering,Spring,United Kingdom,"ETL, Python, SQL, Spark",2,5/22/2021,Mid Level,4
2021,75000,Full-time,Technology,Lead Data Engineer,Winter,United Kingdom,"ETL, Python, SQL, Spark",1,1/5/2021,Mid Level,4
2021,12000,Part-time,Technology,AI Scientist,Winter,United States,"Deep Learning, NLP, Neural Networks, Python",4,12/24/2021,Entry Level,4
2021,38400,Full-time,Technology,Data Engineer,Summer,Netherlands,"ETL, Python, SQL, Spark",2,6/27/2021,Entry Level,4
2021,225000,Full-time,Technology,Machine Learning Scientist,Summer,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",2,6/23/2021,Executive,4
2021,50000,Full-time,Technology,Data Scientist,Spring,others,"Machine Learning, Python, SQL, Statistics",2,5/18/2021,Entry Level,4
2021,34000,Full-time,General,Data Science Engineer,Spring,Greece,"Communication, Python, SQL",1,3/10/2021,Entry Level,3
2021,90000,Full-time,Finance,Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",1,3/2/2021,Mid Level,4
2021,200000,Full-time,Technology,Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",3,8/10/2021,Senior Level,4
2021,60000,Full-time,Technology,Big Data Engineer,Summer,others,"ETL, Python, SQL, Spark",3,8/15/2021,Mid Level,4
2021,200000,Full-time,Technology,Principal Data Engineer,Summer,United States,"ETL, Python, SQL, Spark",3,8/11/2021,Senior Level,4
2021,50000,Full-time,Finance,Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",3,7/19/2021,Entry Level,4
2021,80000,Full-time,Technology,Applied Data Scientist,Winter,United Kingdom,"Machine Learning, Python, SQL, Statistics",4,12/4/2021,Mid Level,4
2021,8760,Part-time,Finance,Data Analyst,Winter,Spain,"Excel, Power BI, SQL, Tableau",1,1/20/2021,Entry Level,4
2021,151000,Full-time,Technology,Principal Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",2,6/17/2021,Senior Level,4
2021,120000,Full-time,Technology,Machine Learning Scientist,Winter,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",4,12/22/2021,Senior Level,4
2021,700000,Full-time,Technology,Data Scientist,Summer,India,"Machine Learning, Python, SQL, Statistics",3,7/25/2021,Executive,4
2021,20000,Full-time,Technology,MachIndiae LearnIndiag EngIndiaeer,Summer,India,"Deep Learning, Python, Scikit-learn, TensorFlow",3,8/9/2021,Entry Level,4
2021,3000000,Full-time,Technology,Lead Data Scientist,Summer,India,"Machine Learning, Python, SQL, Statistics",3,8/23/2021,Executive,4
2021,100000,Full-time,Technology,Machine Learning Developer,Winter,others,"Deep Learning, Python, Scikit-learn, TensorFlow",1,2/7/2021,Mid Level,4
2021,42000,Full-time,Technology,Data Scientist,Winter,France,"Machine Learning, Python, SQL, Statistics",4,12/22/2021,Entry Level,4
2021,38400,Full-time,Technology,Applied Machine Learning Scientist,Spring,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",2,5/9/2021,Entry Level,4
2021,24000,Full-time,General,Computer Vision Engineer,Summer,others,"Communication, Python, SQL",2,6/1/2021,Entry Level,3
2021,100000,Full-time,Technology,Data Scientist,Spring,United States,"Machine Learning, Python, SQL, Statistics",2,4/24/2021,Mid Level,4
2021,90000,Full-time,Finance,Data Analyst,Summer,United States,"Excel, Power BI, SQL, Tableau",3,7/23/2021,Mid Level,4
2021,7000000,Full-time,General,ML Engineer,Spring,Japan,"Communication, Python, SQL",2,5/19/2021,Executive,3
2021,8500000,Full-time,General,ML Engineer,Summer,Japan,"Communication, Python, SQL",2,6/13/2021,Executive,3
2021,220000,Full-time,Technology,Principal Data Scientist,Spring,United States,"Machine Learning, Python, SQL, Statistics",2,5/9/2021,Executive,4
2021,80000,Full-time,Technology,Data Scientist,Winter,United States,"Machine Learning, Python, SQL, Statistics",1,2/12/2021,Mid Level,4
2021,135000,Full-time,Finance,Data Analyst,Spring,United States,"Excel, Power BI, SQL, Tableau",2,4/17/2021,Senior Level,4
2021,240000,Full-time,General,Data Science Manager,Winter,United States,"Communication, Python, SQL",1,1/9/2021,Executive,3
2021,150000,Full-time,Technology,Data Engineering Manager,Autumn,United States,"ETL, Python, SQL, Spark",4,10/17/2021,Senior Level,4
2021,82500,Full-time,Technology,Data Scientist,Autumn,United States,"Machine Learning, Python, SQL, Statistics",4,10/24/2021,Mid Level,4
2021,100000,Full-time,Technology,Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",4,12/13/2021,Mid Level,4
2021,70000,Full-time,Technology,Machine Learning Engineer,Winter,others,"Deep Learning, Python, Scikit-learn, TensorFlow",1,2/23/2021,Mid Level,4
2021,53000,Full-time,Healthcare,Research Scientist,Winter,France,"Data Analysis, Python, R, Statistics",1,1/3/2021,Mid Level,4
2021,90000,Full-time,Technology,Data Engineer,Autumn,United States,"ETL, Python, SQL, Spark",4,11/12/2021,Mid Level,4
2021,153000,Full-time,Technology,Data Engineering Manager,Summer,United States,"ETL, Python, SQL, Spark",3,8/2/2021,Senior Level,4
2021,160000,Full-time,Technology,Cloud Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",1,2/10/2021,Senior Level,4
2021,168000,Full-time,General,Director of Data Science,Spring,Japan,"Communication, Python, SQL",2,5/4/2021,Senior Level,3
2021,150000,Full-time,Technology,Data Scientist,Autumn,United States,"Machine Learning, Python, SQL, Statistics",3,9/16/2021,Senior Level,4
2021,95000,Full-time,Technology,Data Scientist,Spring,Canada,"Machine Learning, Python, SQL, Statistics",2,4/11/2021,Mid Level,4
2021,13400,Full-time,Technology,Data Scientist,Summer,others,"Machine Learning, Python, SQL, Statistics",3,8/8/2021,Entry Level,4
2021,144000,Full-time,General,Data Science Manager,Winter,United States,"Communication, Python, SQL",1,1/27/2021,Senior Level,3
2021,159500,Full-time,General,Data Science Engineer,Spring,Canada,"Communication, Python, SQL",1,3/12/2021,Senior Level,3
2021,160000,Full-time,Technology,Data Scientist,Autumn,others,"Machine Learning, Python, SQL, Statistics",4,10/7/2021,Senior Level,4
2021,423000,Full-time,Technology,Applied Machine Learning Scientist,Spring,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",1,3/22/2021,Executive,4
2021,120000,Full-time,General,Data Analytics Manager,Autumn,United States,"Communication, Python, SQL",3,9/4/2021,Senior Level,3
2021,125000,Full-time,Technology,Machine Learning Engineer,Spring,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",1,3/10/2021,Senior Level,4
2021,230000,Full-time,General,Head of Data,Spring,Russia,"Communication, Python, SQL",2,4/23/2021,Executive,3
2021,85000,Full-time,General,Head of Data Science,Summer,Russia,"Communication, Python, SQL",3,8/4/2021,Mid Level,3
2021,24000,Full-time,Technology,Data Engineer,Summer,others,"ETL, Python, SQL, Spark",3,7/26/2021,Entry Level,4
2021,54000,Full-time,General,Data Science Consultant,Winter,Germany,"Communication, Python, SQL",1,1/15/2021,Mid Level,3
2021,110000,Full-time,General,Director of Data Science,Spring,Germany,"Communication, Python, SQL",2,4/2/2021,Senior Level,3
2021,165000,Full-time,General,Data Specialist,Autumn,United States,"Communication, Python, SQL",4,11/26/2021,Senior Level,3
2021,80000,Full-time,Technology,Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",4,12/16/2021,Mid Level,4
2021,250000,Full-time,General,Director of Data Science,Autumn,United States,"Communication, Python, SQL",4,11/6/2021,Executive,3
2021,55000,Full-time,Finance,BI Data Analyst,Winter,United States,"Excel, Power BI, SQL, Tableau",1,2/27/2021,Mid Level,4
2021,150000,Full-time,General,Data Architect,Autumn,United States,"Communication, Python, SQL",3,9/16/2021,Senior Level,3
2021,170000,Full-time,General,Data Architect,Summer,United States,"Communication, Python, SQL",3,7/13/2021,Senior Level,3
2021,60000,Full-time,Technology,Data Engineer,Autumn,United Kingdom,"ETL, Python, SQL, Spark",4,10/2/2021,Mid Level,4
2021,60000,Full-time,Finance,Data Analyst,Autumn,United States,"Excel, Power BI, SQL, Tableau",4,11/8/2021,Mid Level,4
2021,235000,Full-time,Technology,Principal Data Scientist,Autumn,United States,"Machine Learning, Python, SQL, Statistics",4,11/21/2021,Executive,4
2021,51400,Full-time,Healthcare,Research Scientist,Spring,Portugal,"Data Analysis, Python, R, Statistics",1,3/26/2021,Mid Level,4
2021,174000,Full-time,Technology,Data Engineering Manager,Summer,United States,"ETL, Python, SQL, Spark",2,6/21/2021,Senior Level,4
2021,58000,Full-time,Technology,Data Scientist,Winter,others,"Machine Learning, Python, SQL, Statistics",1,1/25/2021,Mid Level,4
2021,30400000,Full-time,Technology,Data Scientist,Summer,others,"Machine Learning, Python, SQL, Statistics",2,6/14/2021,Executive,4
2021,81000,Full-time,Technology,Machine Learning Engineer,Autumn,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",3,9/21/2021,Mid Level,4
2021,420000,Full-time,Technology,Data Scientist,Summer,United States,"Machine Learning, Python, SQL, Statistics",3,8/21/2021,Executive,4
2021,1672000,Full-time,Technology,Big Data EngIndiaeer,Autumn,India,"ETL, Python, SQL, Spark",4,10/2/2021,Executive,4
2021,76760,Full-time,Technology,Data Scientist,Summer,Germany,"Machine Learning, Python, SQL, Statistics",3,7/5/2021,Mid Level,4
2021,22000,Full-time,Technology,Data Engineer,Spring,United States,"ETL, Python, SQL, Spark",2,5/16/2021,Entry Level,4
2021,45000,Full-time,Finance,Finance Data Analyst,Summer,United Kingdom,"Excel, Power BI, SQL, Tableau",2,6/2/2021,Entry Level,4
2021,12000,Full-time,Technology,Machine Learning Scientist,Autumn,Pakistan,"Deep Learning, Python, Scikit-learn, TensorFlow",4,11/3/2021,Entry Level,4
2021,4000,Full-time,Technology,Data Engineer,Summer,others,"ETL, Python, SQL, Spark",3,7/14/2021,Entry Level,4
2021,50000,Full-time,General,Data Analytics Engineer,Spring,United Kingdom,"Communication, Python, SQL",1,3/9/2021,Entry Level,3
2021,59000,Full-time,General,Data Science Consultant,Autumn,Spain,"Communication, Python, SQL",4,11/21/2021,Mid Level,3
2021,65000,Full-time,Technology,Data Engineer,Summer,United Kingdom,"ETL, Python, SQL, Spark",2,6/11/2021,Mid Level,4
2021,74000,Full-time,Technology,Machine Learning Engineer,Summer,Japan,"Deep Learning, Python, Scikit-learn, TensorFlow",3,8/2/2021,Mid Level,4
2021,152000,Full-time,General,Data Science Manager,Spring,France,"Communication, Python, SQL",2,4/27/2021,Senior Level,3
2021,21844,Full-time,Technology,Machine Learning Engineer,Winter,others,"Deep Learning, Python, Scikit-learn, TensorFlow",1,1/16/2021,Entry Level,4
2021,18000,Full-time,Technology,Big Data Engineer,Summer,others,"ETL, Python, SQL, Spark",3,8/23/2021,Entry Level,4
2021,174000,Full-time,General,Data Science Manager,Autumn,United States,"Communication, Python, SQL",3,9/27/2021,Senior Level,3
2021,120500,Full-time,HealthCare,Research Scientist,Autumn,Canada,"Data Analysis, Python, R, Statistics",3,9/27/2021,Senior Level,4
2021,147000,Full-time,Technology,Data Scientist,Autumn,United States,"Machine Learning, Python, SQL, Statistics",3,9/8/2021,Senior Level,4
2021,9272,Full-time,Finance,BI Data Analyst,Spring,others,"Excel, Power BI, SQL, Tableau",2,5/9/2021,Entry Level,4
2021,1799997,Full-time,Technology,MachIndiae LearnIndiag EngIndiaeer,Autumn,India,"Deep Learning, Python, Scikit-learn, TensorFlow",4,11/5/2021,Executive,4
2021,4000000,Full-time,General,Data Science Manager,Winter,United States,"Communication, Python, SQL",1,1/18/2021,Executive,3
2021,90000,Full-time,General,Data Science Consultant,Winter,United States,"Communication, Python, SQL",4,12/8/2021,Mid Level,3
2021,52000,Full-time,Technology,Data Scientist,Spring,others,"Machine Learning, Python, SQL, Statistics",1,3/12/2021,Mid Level,4
2021,195000,Full-time,Technology,Machine Learning Infrastructure Engineer,Autumn,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",4,10/21/2021,Senior Level,4
2021,32000,Full-time,Technology,Data Scientist,Winter,Spain,"Machine Learning, Python, SQL, Statistics",1,2/26/2021,Entry Level,4
2021,50000,Full-time,Healthcare,Research Scientist,Winter,United States,"Data Analysis, Python, R, Statistics",1,1/17/2021,Entry Level,4
2021,160000,Full-time,Technology,Data Scientist,Autumn,United States,"Machine Learning, Python, SQL, Statistics",4,10/26/2021,Senior Level,4
2021,69600,Full-time,Technology,Data Scientist,Summer,others,"Machine Learning, Python, SQL, Statistics",3,8/11/2021,Mid Level,4
2021,200000,Full-time,Technology,Machine Learning Engineer,Spring,United States,"Deep Learning, Python, Scikit-learn, TensorFlow",1,3/19/2021,Senior Level,4
2021,165000,Full-time,Technology,Data Engineer,Winter,United States,"ETL, Python, SQL, Spark",4,12/25/2021,Senior Level,4
2021,20000,Full-time,Technology,Data Engineer,Autumn,United States,"ETL, Python, SQL, Spark",4,11/12/2021,Entry Level,4
2021,120000,Full-time,General,Data Analytics Manager,Winter,United States,"Communication, Python, SQL",4,12/26/2021,Senior Level,3
2021,21000,Full-time,Technology,Machine Learning Engineer,Winter,others,"Deep Learning, Python, Scikit-learn, TensorFlow",1,1/26/2021,Entry Level,4
