Job Title,Company,City,Country,Experience (Months),Job Description,Skills Required,Salary Range,Job Type,Posted Date
Data Analyst,BC Racing UK - Apex Performance Parts LTD,Bradford,United Kingdom,,"About BC Racing UK

BC Racing UK is a well-established, mail-order-based business specialising in performance car parts. With over 20 years of experience, we have built a strong reputation for delivering high-quality products to customers globally. We are experiencing rapid growth and have recently established a European distribution centre to complement our UK facility, enhancing product supply efficiency across Europe and worldwide.

Role Overview

We are seeking a detail-oriented Data Analyst to join our team. In this role, you will be responsible for collecting, processing, and analysing data across various business functions including production, marketing, sales, and IT. Your insights will support strategic decision-making, optimising processes such as product pricing and inventory management.

Key Responsibilities
• Collect, organise, and analyse data to support business operations.
• Identify and rectify critical errors
• Provide data-driven insights to assist management in making informed business decisions.
• Utilise statistical methodologies and analytical techniques to identify trends and patterns.
• Work with relational databases and data management tools such as Excel and Google Sheets.
• Communicate findings effectively with management
• Generating new products through Excel and automated spreadsheet tools
• Importing and exporting essential data.
• Product Validation
• Facilitating the exchange and input of critical data across multiple platforms, including websites, eBay, and order processing/management systems.

Required Skills & Qualifications
• Bachelor's degree in IT, Mathematics, Data Science, or a related field.
• Strong attention to detail and accuracy in data analysis.
• Excellent verbal and written communication skills.
• Proficiency in data organisation, processing, and visualisation tools.
• Solid IT and mathematical skills with an understanding of statistical analysis.
• Experience working with large datasets and drawing meaningful conclusions.
• Knowledge of relational databases and data structures.
• Ability to thrive in a fast-paced, collaborative office environment.
• Willingness to learn new skills and adapt to evolving technologies.
• Experience with integrating automation

Job Type: Full-time

Pay: From £31,840.00 per year

Benefits:
• Free parking
• On-site parking

Schedule:
• Monday to Friday

Ability to commute/relocate:
• Bradford BD4 6SG: reliably commute or plan to relocate before starting work (preferred)

Work Location: In person",,N/A,Full-time,
Complaints Data Analyst,Convatec,Deeside,United Kingdom,,"Pioneering trusted medical solutions to improve the lives we touch: Convatec is a global medical products and technologies company, focused on solutions for the management of chronic conditions, with leading positions in advanced wound care, ostomy care, continence care, and infusion care. With around 10,000 colleagues, we provide our products and services in almost 100 countries, united by a promise to be forever caring. Our solutions provide a range of benefits, from infection prevention and protection of at-risk skin, to improved patient outcomes and reduced care costs. Convatec’s revenues in 2023 were over $2 billion. The company is a constituent of the FTSE 100 Index (LSE:CTEC). To learn more about Convatec, please visit http://www.convatecgroup.com

Our search for better is changing the lives of our customers. It’s changing the careers of our people too – creating new challenges and opportunities all the time. We’re a business that never stands still. Join us on our journey to #ForeverCaring as a Post Market Quality Engineer and you won’t either.

The Role:

The Post Market Quality Engineer is responsible and accountable for quality engineering deliverables required within the post market compliance & surveillance processes. Act as steward for post-market safety and quality, customer requirements/expectations, and regulatory compliance. Overall responsibility for ensuring technical rigor and compliance to applicable procedures during risk management, complaint, CAPA, and design related

processes. Serve as liaison between marketing, manufacturing, quality, and R&D to ensure post-market safety and performance are maintained for all product franchises.

Key Responsibilities:
• Execute and maintain procedures and processes to support post-market surveillance activities such as product investigations, periodic and ad hoc risk reviews, and product monitoring (trending and tracking) across all product franchises.
• Execute quality engineering activities for all post market product surveillance including collection, analysis, and evaluation of product safety and performance data, and detection of trends in data that may warrant further action.
• Is an expert in creating and generating Dashboards, Graphics, trend Analysis and reports in Excel, Power BI and Minitab to created detailed data analysis and support Post Market Surveillance reports.
• Acts as point of contact to execute Complaint analysis Activities across Convatec Business Units – Advanced Wound Care, Continence Care, Infusion Care, and Ostomy Care.
• Extract and generate Complaint performance data analysis necessary for generating applicable reports. Coordinate and provide oversight in the analysis of the complaint data.
• Support and Execute the Complaint return process as required
• Organize and lead reviews with Development, Operations and Manufacturing on emerging quality issues and participate in any resulting corrective actions. Demonstrate a primary commitment to patient safety and product quality by maintaining compliance to the Quality Policy and all other documented quality processes and procedures.
• Identify and escalate instances when products are not achieving the intended performance based upon anticipated levels of frequency and/or severity.
• Timely and accurate presentation of complaint analysis to all stakeholders, while concurrently supporting root cause analysis for any issues identified as required.

 

 

Design and Development:
• Develop understanding of the current risk profile for all products including reportable product harms and malfunctions
• Provide quality and compliance input to project teams for project decisions and deliverables, especially those related to risk.
• Participate in design control activities and provide input into identifying failure modes and risk assessment for new and existing products while providing expertise in product complaint history and occurrence levels.
• Quality Management System:
• Adhere to all requirements of the Quality Management System and its KPIs.
• Support investigations arising from CAPA, complaints, Health Hazard Evaluations (HHE), Internal audits, third party inspections, and other business processes by applying typical quality/problem solving tools such as fishbone/cause & effect, Pareto, process mapping, etc.
• Other responsibilities:
• Overall responsibility for ensuring technical rigor and compliance to applicable procedures during risk management, complaint, CAPA, and design related processes.
• Support R&D, Operations, Marketing, Clinical Affairs, Regulatory, Post Market Surveillance, external customers and equipment suppliers.
• The job holder will demonstrate the highest Quality standards, be able to impart knowledge and increase best practice across site/s and will embrace/drive Convatec core mission, values and priorities.
• Support continuous improvement of quality engineering procedures, processes, and tools.

Authority (if applicable):
• Act as the backup of the Complaint Manager and other peers in Post Market Surveillance
• Approve quality Records in D2 Document Management system.
• Author, Review, Approve data analysis reports
• Skills & Experience:
• Demonstrate company values, work with integrity, and be a supportive team member.
• Excellent written and verbal communication skills, with an open, collaborative leadership style
• Ability to build and nurture strong and positive relationships with other leaders to partner effectively.
• Balanced technical understanding of products and processes combined with business and compliance acumen.
• Abitlity to navigate government regulations and standards, including Regulation (EU) 2017/745, 21 CFR 820, ISO 13485 and ISO 14971.
• Statistical Analysis certification
• Strong project and time management skills, ability to work on multiple tasks concurrently with changing priorities.
• Proficient with of MS Word, Excel, PowerPoint, power BI and Minitab.

Desirable:
• Certifications in Quality Management Systems (e.g. ISO 13485, 9001, lead auditor, ASQ, etc.)
• Six Sigma Green Belt/Black Belt certification or equivalent in statistics
• Qualifications/Education:
• Master’s degree in a technical or scientific field.
• 5+ years or equivalent experience in quality engineering role in a medical device or life sciences technology driven company
• Experience with various phases of the product development lifecycle including concept, design, implementation, verification, and validation activities necessary for product commercialization.
• Experience in product and process risk management, manufacturing processes within a medical device company and Experience in post-market surveillance activities (tracking and trending, investigations)
• Our transformation will change your career. For good. You’ll be pushed to think bigger and aim for excellence. Your ideas will be heard, and you’ll be supported to bring them to life. There’ll be challenges. But, stretch yourself and embrace the opportunities, and you could make your biggest impact yet. This is stepping outside of your comfort zone. This is work that’ll move you.

#LI-AN1
#LI-Remote

Beware of scams online or from individuals claiming to represent Convatec

A formal recruitment process is required for all our opportunities prior to any offer of employment. This will include an interview confirmed by an official Convatec email address.

If you receive a suspicious approach over social media, text message, email or phone call about recruitment at Convatec, do not disclose any personal information or pay any fees whatsoever. If you’re unsure, please contact us at careers@Convatec.com.

Equal opportunities

Convatec provides equal employment opportunities for all current employees and applicants for employment. This policy means that no one will be discriminated against because of race, religion, creed, color, national origin, nationality, citizenship, ancestry, sex, age, marital status, physical or mental disability, affectional or sexual orientation, gender identity, military or veteran status, genetic predisposing characteristics or any other basis prohibited by law.

Notice to Agency and Search Firm Representatives

Convatec is not accepting unsolicited resumes from agencies and/or search firms for this job posting. Resumes submitted to any Convatec employee by a third party agency and/or search firm without a valid written and signed search agreement, will become the sole property of Convatec. No fee will be paid if a candidate is hired for this position as a result of an unsolicited agency or search firm referral. Thank you.

Already a Convatec employee?

If you are an active employee at Convatec, please do not apply here. Go to the Career Worklet on your Workday home page and View ""Convatec Internal Career Site - Find Jobs"". Thank you!",,N/A,Full-time,2025-04-16T00:00:00.000Z
Data Analyst,SF Recruitment,Coventry,United Kingdom,,"Data Analyst
Location: Coventry, UK

About the Role:

Our client is looking for a talented Data Analyst to join their Credit Management team in Coventry. This role focuses on leveraging data to drive insights and improve performance in collections. You will be responsible for daily reporting, identifying trends, and working closely with collections teams to optimise debt recovery processes.

Key Responsibilities:
• Analyse collections data using SQL to identify performance trends and insights.
• Work with collections teams to implement data-driven strategies for improved recovery rates.
• Create and present performance reports, offering recommendations for optimisation.
• Suggest system improvements, including Power BI and ERP solutions, to enhance decision-making.
• Ensure data security and GDPR compliance in all processes.

Skills & Experience:

Essential:
• Degree-level qualification or equivalent certification.
• Strong SQL skills and experience in data analysis to improve performance.
• Experience in creating business intelligence reports.
• Ability to communicate complex data insights clearly.
• Track record of continuous improvement in a data-focused role.

Desirable:
• Experience with ERP systems (e.g., SAP S4), Power BI, and Salesforce.
• Familiarity with SQL tools (e.g., TOAD, SQL Server Management Studio).

Why Our Client?
• A dynamic and evolving financial environment.
• A collaborative team that values innovation.
• Competitive salary and benefits.
• Opportunities for career progression.

If you're passionate about data analysis and want to make an impact, our client would love to hear from you!",,N/A,Full-time,
Data Analyst – Executive Compensation (GECAT),WTW,London,United Kingdom,,"Description

We are excited to invite an enthusiastic and detail-oriented Entry-Level Data Analyst to join our team. Your contributions will play a crucial part in conducting analyses that empower our clients to make well-informed decisions. As a member of our professional and globally diverse team, you'll enjoy a supportive work environment that prioritises work-life balance, offering flexible and remote working options. Join us and take the first step in your data analytics career with a company that values your growth and well-being.

The Role
• Collect data on executive and non-executive remuneration from publicly disclosed sources, collaborating with an international team
• Help maintain, update, and develop new and existing tools and databases
• Ensure excellent data quality and accuracy
• Conduct in-depth data analysis and develop intellectual capital based on UK and global insights
• Prepare reports and support ad-hoc requests for client and marketing purposes

Qualifications

The Requirements
• A natural curiosity and eagerness to learn new skills and fully understand a something down to the last detail
• Able to work independently and effectively, but also work collaboratively
• Solid Excel and analytical skills
• Previous experience in the area of board compensation is a plus

At WTW, we believe difference makes us stronger. We want our workforce to reflect the different and varied markets we operate in and to build a culture of inclusivity that makes colleagues feel welcome, valued and empowered to bring their whole selves to work every day. We are an equal opportunity employer committed to fostering an inclusive work environment throughout our organization. We embrace all types of diversity.",,N/A,Full-time,2025-04-23T00:00:00.000Z
Data Analytics Lead,UK Anti-Doping,Loughborough,United Kingdom,,"Salary Range £34,860 - £35,860

Location Hybrid (WFH / SportPark, Loughborough)

Type of contract Full-time, Permanent

Closing Date 23:59pm on Monday 26 May 2025

UK Anti-Doping (UKAD) is on a mission to protect clean sport and currently has an exciting opportunity available for you to join us.

We’re looking to recruit a Data Analytics Lead joining the Education, Insight & Global Engagement Directorate to play an active role leading and manage the implementation of UKAD’s Data Analytics Strategy.

About us

Our purpose:

To ensure doping-free sport, promoting and protecting clean sport through education, testing and enforcement.

Our values:

Integrity – We do what is right for clean sport, we are equitable and ethical, ensuring everyone is treated fairly and with respect.

Collaboration – We work together and with others, sharing knowledge and building relationships to better tackle doping.

Excellence – We strive to achieve high standards in the protection of clean sport, evolving with the times and finding solutions.

Passion – We are dedicated to keeping sport clean, are proud of what we do and know it matters.
Job purpose

You will ensure the integration of new data visualisations, advanced analytical methods, and AI to enhance operational effectiveness and efficiency. You will also contribute to internal and external initiatives that drive data excellence, foster a data-driven culture, and stimulate global collaboration in anti-doping analytics.

Key result areas include
• Lead on the development of insights, data visualisations and evidence-based reports with teams across UKAD
• Apply data science methods, such as statistical analysis and machine learning to identify new insights, trends, and optimise decision-making processes
• Explore and evaluate potential applications of generative AI within anti-doping, ensuring that any implementation adheres to stringent data governance and ethical standards
• Facilitate internal workshops that identify hypotheses that can be explored through analytics
• Support data analytics initiatives in wider teams through providing feedback, troubleshooting and mentorship
• Serve as UKAD’s technical representative within the international anti-doping data analytics working group, contributing to collaborative initiatives with other members.
• Create opportunities for the development of leadership and technical skills across UKAD that drive advocacy and capability towards being analytically driven and evidence based
• Develop and maintain effective partnerships with UK and international academic institutions, fellow National Anti-Doping Organisations, and other identified strategic partners that will enable UKAD to pursue its data analytics ambitions
• Increase UKAD’s engagement with other sectors to identify transferrable approaches towards embracing analytics

Person specification

Qualifications/experience/knowledge
• Experience in collecting, cleaning, and analysing large datasets from diverse sources to extract actionable insights using data visualisation tools
• Proficiency in using advanced Excel functions and other data manipulation tools (e.g., SQL and Python) for data cleaning, visualisations, and automation of data processes
• Extensive experience in creating interactive reports and dashboards using Power BI or similar tools, with expertise in connecting and integrating data sets for accurate and comprehensive analysis
• Proficiency in using common data science Python packages (e.g. Pandas, NumPy, Scikit-learn and Matplotlib) for data manipulation, analysis, and visualisation
• Familiarity with advanced data science techniques, including machine learning (e.g., K-means), natural language processing (e.g., NLTK or spaCy), and data acquisition techniques (e.g., Selenium) is advantageous.
• Proficiency in producing detailed project documentation, including specifications, test plans, data quality checks, and validation procedures
• Experience of managing projects that involve both internal and external stakeholders
• Demonstrated ability to independently establish and maintain successful partnerships with external stakeholders, including academic institutions and industry partners.
• An understanding of data protection, confidentiality, and experience of managing information with discretion

Skills
• Demonstrable analytical eye for detail
• Excellent communicator who can build, manage, and sustain relationships with key stakeholders
• Ability to translate complex data into clear insights and recommendations.
• Creative approach to work, with the ability to develop innovative solutions and use initiative in problem solving
• Highly curious with a passion for understanding the ‘why’ behind trends and the confidence to question the status quo
• Strong administration and record keeping skills
• Strong planning, time management and organisational skills
• Able to work effectively as a team member or on own when required
• Able to work in a highly process driven administrative environment

How to apply

Our values are at the heart of what we do, so if they align with you and you’re up for the fight against doping in sport, please complete the online application.

Deadline for Applications is 11:59pm on Monday 26 May 2025. Interviews will take place on 09 and 10 June 2025 at SportPark, Loughborough.

Please note that UK Anti-Doping are currently unable to provide Visa Sponsorship.",,N/A,Full-time,2025-04-16T00:00:00.000Z
Commercial Data Analyst,TieTalent,,United Kingdom,,"About

Company Description

Stobart (Part of the Culina Group) is a leading ambient transport and logistics business, providing services to many of the UK’s best known brands across core consumer and retail sectors.

At Culina we have a winning culture, we believe that our culture is one of the reasons our company continues to thrive… A place where you're valued, challenged, and inspired!

Job Description

Due to continued growth, we are now seeking a Data Analyst to join our Commercial team at our Appleton Thorn site on a full time permanent basis.

As Data Analyst you will provide accurate, detailed analysis, recommendations, and observations for new business leads. You will provide a key interface between all parties, ensuring that the information is provided within agreed timelines, to ensure tender timelines are met.

Working hours: Monday to Friday, 8:30am-17:30pm. (On-site)

You must have a full UK driving licence and access to your own vehicle to apply for this role due to the location of site.

Key Duties Of a Data Analyst Include

Produce detailed analysis on new business tender opportunities. Analyse complex data sets and build finance models to show how different scenarios would impact our business. Assist in the costing of all new business opportunities. Liaise with other departments as required to ensure feasibility of transport solutions being put forward. Provide support to ‘new start ups’ as necessary. Supporting the Head of Sales on the provision of any commercial analysis for potential new and existing customers.

Qualifications

Advance Excel user – pivot tables and v-look ups. Excellent numerical and analytical skills and experience. Have strong attention to detail. Have Commercial business acumen. Strong experience of using MS Office. Strong communications skills both verbal and written. Ability to communicate with the wider business at all levels.

Additional Information

As part of our drive to make Stobart a great place to work. We are proud to be an inclusive and diverse organisation where we are committed to employee development and recognising success for hard working performers.

Our dedicated learning and development programmes are open to every employee to give you the opportunity to shape your own future within logistics and continue to work in an environment where team culture thrives.

Benefits

Our People are the driving force behind our success, which is why we offer a wide range of benefits which include:

Annual Leave – 25 Days + 8 Bank Holidays. Pension scheme – We want colleagues to enjoy a comfortable retirements so we offer a great contribution of 5% employee and 3% employer. Life Assurance - x 2 your annual salary. Wellness – Via our Employee Assistance Programme we offer immediate access to a confidential telephone counselling and legal information service that operates 24 hours a days, 365 days a year. Eye Care Vouchers – We can provide you with substantial savings with free eye tests and discounts on prescription glasses. Reward & Recognition – We recognise that employees have gone the extra mile via Employee of the month and year, special recognition and long service awards. Everyday discounts - Via our benefit platform you will have access to over 50 retailer discounts for everyday savings!If you meet the requirements for the above role and are looking for your next career opportunity please apply now and become a part of our #WinningTeam
• Warrington, England

Work experience
• Data Analyst

Languages
• English",,N/A,Full-time,2025-04-09T00:00:00.000Z
"Principal Consultant, Advanced Analytics - Data Science (UK)",Parexel,,United Kingdom,,"Overall Summary about this role:

The Principal Consultant, Advanced Analytics: Data Science contributes statistical capabilities and methodological leadership at all stages of projects, from planning to completion. The role would work with junior team members in designing, developing, and delivering client solutions across multiple projects – leveraging competencies in statistical theory, data analysis and interpretation, regression analysis, machine learning algorithm development, deep learning, and natural language processing techniques. The individual must have a Master's or Doctoral Degree in Health Economics, Health Policy, Statistics, Biostatistics, Mathematics, or other quantitative fields. They should be proficient in data analytics and statistical software/tools like R, Stata, Python, and SAS.

Essential Knowledge, Experience, Skills and Education you will need to have to qualify for this role:

Knowledge and Experience;
• Strong basis in fundamental statistical concepts and methods and familiarity with techniques such as development of predictive equations, survival analysis (including parametric methods), longitudinal data analysis, meta-analysis, mixed treatment comparison, and other hierarchical analysis techniques, etc.
• Familiarity with machine learning techniques and Bayesian statistics is a plus.
• Strong statistical programming skills with standard software, including SAS, R, or STATA.
• Strong communication (spoken and written) and problem-solving skills, and an ability to learn-quickly.
• Ability to communicate effectively, in non-technical terms, with project team members.
• Ability to work well in a team as well as independently and be able to take leadership role with regard to methodological elements in projects.

Skills:
• Six or more years of working experience with healthcare consulting or pharmaceutical organizations.
• Familiarity with machine learning use cases in HEOR including the prediction of risk of various health care events; the causal estimation of treatment effects; developing models for economic evaluation; and model/data transparency.
• Willingness to work under pressure to meet multiple and sometimes competing deadlines.
• Excellent scientific, business writing, and presentation skills with close attention to detail.
• Exceptional communication skills, especially in the relaying of technical information and project concepts.
• Competent in written and spoken English
• SAS (Base, Stat, Graph, Macro), R, SPSS, STATA, and Python

Education:
• MSc or PhD in Data Science, Medical Statistics, Computational Biology, Health Economics, Health Policy, Statistics, Biostatics, Mathematics or other quantitative fields. They should be proficient in data analytics and statistical software/tools like R, Stata, Python, and SAS.

Key Accountabilities:

Project Execution
• To direct project teams in the design, development and delivery of client solutions across multiple projects.
• To provide high level input to the development of client deliverables including the provision of support to the delivery team in the development of strategic recommendations tailored to individual projects.
• To provide advice and support to existing clients both within and outside of projects.
• To help manage existing business accounts and identify new business opportunities for Parexel with existing and new clients.
• To proactively mentor and develop members of the team to help achieve best in class status.
• To ensure the optimal levels of client management are maintained at all levels and that the training and support to achieve best practice consultancy standards are achieved.
• To ensure quality standards are adhered to on all projects and new methodologies and techniques are adequately assessed and implemented.
• To foster thought leadership opportunities in Advanced Analytics.
• To work with Senior Management colleagues to identify further service opportunities.

Additional Responsibilities

Principal Consultant, Advanced Analytics: is responsible for ensuring that all assigned projects are being conducted in an efficient manner and that quality and client satisfaction is maximized at all times -- ensuring the direction of the project and the quality of the deliverables meet the project objectives and the client needs. Further, Principal Consultants are expected to support and train the Senior associates and Associates in their daily duties and to flag any areas of acute training needs to their line managers. Supported by the senior staff and Business Development partners, the Principal Consultant is responsible for maintaining client relationships on their projects. In addition, the individual will be expected to contribute to the continuing growth and improvement of the business unit through taking ownership of company and business unit processes and initiatives as well as contributing to the Senior Management Team's focus and direction. The Principal Consultant will also be expected to meet stated targets for new business development.

Candidates will be part of multi-disciplinary research teams and will be expected to provide statistical expertise and methodological leadership at all stages of projects from planning to completion. Duties will vary according to the nature of the projects. These may include independently contributing to the preparation of study protocols, data manipulation and analysis, development of machine learning algorithms, application of deep learning and natural language processing techniques, and assisting with the interpretation and dissemination of findings. Candidate is expected to also lead and support ongoing innovation objectives of the unit in the field of health outcomes analysis which warrants having thought leadership skills. Candidate is expected to also support ongoing thought leadership and innovation objectives of the unit in the field of advanced analytics including, but not limited to:
• Supervised and unsupervised learning
• Variations in machine learning algorithm development such as regression, classification, clustering, and dimensionality reduction
• Variations of ensemble methods such as boosting, bagging, and stacking improve model performance
• Deep learning
• Super learners
• Targeted learning
• Targeted maximum likelihood estimation
• Target trial emulation and other causal inference applications
• Causal modelling
• Predictive modelling
• Feature engineering
• Natural language processing
• Large language models
• NB* Candidates to please note that VISA sponsorship is not supported for this role.

#LI-REMOTE",,N/A,Full-time,
Data Analyst - Summer Intern,burfordcap,London,United Kingdom,,"Burford Capital is the leading global finance and asset management firm focused on law. Its businesses include litigation finance and risk management, asset recovery and a wide range of legal finance and advisory activities. Burford is publicly traded on the New York Stock Exchange (NYSE: BUR) and the London Stock Exchange (LSE: BUR), and it works with companies and law firms around the world from its principal offices in New York, London, Chicago, Washington, Singapore, Sydney, Hong Kong and Dubai.

The Firm is seeking a Data Analyst Summer Intern to join the Strategy and Quantitative Analytics team. The Data Analyst Summer Intern will be involved in a wide variety of areas within the Strategy and Quantitative Analytics team, with a particular focus on data analysis and the operation of Burford Capital’s proprietary investment modelling software.

The role will report to a Quantitative Associate and be based in Burford’s New York or London offices.

www.burfordcapital.com

Burford Capital is the largest and most experienced provider of commercial finance to the legal sector in the world, with a core expertise in identifying and optimizing the value of legal assets for companies and law firms. Since its founding in 2009, Burford has worked with hundreds of law firms and corporations, including 94 of the AmLaw 100 and 92 of the Global 100 largest law firms. Our team has grown from five people at the end of 2009 to over 150 people today, including over 45 lawyers.

Burford possesses the resources and expertise of a large company while retaining the flexibility and creativity of a startup. Team members are smart, creative, collaborative, curious, and confident. Everyone rolls up their sleeves to perform and engage collectively for the overall success of the business. Burford values rigorous thinking, clear communication, and efficient execution. Burford is an “always on” environment in which everyone needs to be accessible by email when outside the office, including during evenings and weekends

Burford pays base salaries consistent with the financial services industry and favors incentive compensation to reward performance. Burford Capital is committed to increasing diversity and maintaining an inclusive workplace culture. We welcome applications from all qualified candidates regardless of their ethnicity, race, gender, religious beliefs, sexual orientation, age, marital status, whether or not they have a disability.

#LI-DNI

POSITION DESCRIPTION

Responsibilities

The Strategy and Quantitative Analytics team at Burford Capital is seeking a Summer Intern to

assist with data analysis, the operation of Burford’s proprietary investment modeling software,

and various finance-related projects. Responsibilities will include:

• Support the team in the development and operation of Burford’s proprietary investment

modelling software.

• Analyze existing investment models to evaluate pricing structures and underlying assumptions.

• Identify areas of development for the modelling systems and communicate them to the

Strategy and Quantitative Analytics team.

• Develop new modelling features by specifying functional requirements and testing the

implementation.

Professional Development

The Summer Intern will benefit from the following opportunities:

• Formal training introducing litigation finance, financial modelling and analysis.

• Hands-on training in general finance and litigation finance, gaining a strong foundation in key concepts and practices.

• Personalized mentorship and exposure to advanced financial modeling techniques.

• Opportunities to contribute meaningfully to impactful projects within the Strategy and

Quantitative Analytics team.

SKILLS DESIRED

Qualifications & Experience

• Candidates should have an outstanding academic record.

• Candidates should be currently pursing or have recently completed a bachelor’s or master’s degree in finance, economics, or a STEM field.

Core Competencies & Skills

• Candidates must be detail-oriented and have strong organizational, analytical, and problem-solving skills.

• A collaborative working style that enables them to interact with team members at all

levels of the company.

• High energy, self-starter with an ability to comprehend and quickly learn new concepts.

• A high proficiency in Excel is required. Understanding of Python is desirable.

• Excellent written and verbal communication skills required.

#LI-DNI",,N/A,Internship,2025-04-07T00:00:00.000Z
Finance Data Analyst,Harnham,Leicester,United Kingdom,,"Finance Data Analyst

Leicester, Hybrid - 4 days in office

Up to £51,000

A leading retail company is seeking a Data Analyst to join their Finance team!

THE ROLE

This company is looking to add to its Finance team, where you will be responsible for looking at the data across customer payments. The role will involve accessing and extracting data from the cloud, using SQL and Databricks, carrying out analysis, and delivering key insights to the wider finance team.

YOUR SKILLS AND EXPERIENCE
• Strong experience in SQL and Databricks is required
• Experienced in Power BI or another visualisation tool
• Ability to tell a story with data and strong presentation skills

BENEFITS

Up to £51,000

Opportunity to grow and develop your career

HOW TO APPLY

Please register your interest by sending your CV to Lauren McAlister via the Apply link on this page.",,N/A,Full-time,
Data Insight Analyst - Consumer & Audience,DataTech Search and Selection,,United Kingdom,,"Data Insight Analyst - Consumer & Audience -London office hybrid - 3 days per week - Salary negotiable dep on experience up to £60,000 - J12932

Please note this client is unable to offer sponsorship so please ensure you have full UK working rights.

Datatech are working exclusively with a boutique start up in London, staffed across the UK, US and Canada, to grow their team. This leading consumer behavioural data organisation are servicing some of the largest brands and media companies worldwide and have been working for the last 6 + years adding value to their clients.

This company have an incredible amount of data, and having just skimmed the surface of this, there is a huge opportunity to delve deeper and bring their potential to life.

For the role of Data Insights Analyst, we are looking for an enthusiastic and driven individual, ready to get stuck into some extremely interesting projects and work with some huge global brands.

You'll be working in an incredibly supportive and social team, where each employee is an individual contributor and has a voice to produce ideas and ways of success.

In this role, you will be responsible for data collection, analysis and interpretation of a vast and rich data lake of consumer behavioural data to provide actionable insights and recommendations regarding marketing campaigns, sales opportunities and brand perception.

The role….
• Gather data from diverse media platforms using data scraping tools, APIs, and monitoring services.
• Provide data-driven recommendations to improve campaign performance based on analysis of key metrics.
• Creating propositions for clients and storytelling - really bringing the numbers to life in an engaging and informative manner
• Clean and structure raw data to ensure accuracy and consistency for analysis.
• Identify patterns and emerging trends within media data to understand audience behaviour and market dynamics.
• Track key metrics like impressions, reach, engagement, sentiment analysis, and cost-per-click across different media channels.
• Analyse data to identify different audience segments and their media consumption habits.
• Monitor competitor media coverage and identifying trends to inform strategy.
• Create clear and concise reports with data visualizations (graphs, charts) to communicate insights to stakeholders.

The ideal candidate….
• Experience working with consumer focused data and audiences
• Proficiency in data analysis tools and techniques (e.g., SQL, Python, R, Tableau)
• Previous experience in data storytelling, data translation and delivering insights to a variety of audiences
• Strong problem-solving skills to identify issues within data and developing solutions to address them
• Knowledge of different media channels (social media, print, television, online advertising) and their metrics
• Effectively presenting complex data insights to both technical and non-technical audiences
• Ability to interpret statistical data and draw meaningful conclusions

If this sounds like the role for you then please apply today!

Alternatively, you can refer a friend or colleague by taking part in our fantastic referral schemes! If you have a friend or colleague who would be interested in this role, please refer them to us. For each relevant candidate that you introduce to us (there is no limit) and we place, you will be entitled to our general gift/voucher scheme.

Datatech is one of the UK's leading recruitment agencies in the field of analytics and host of the critically acclaimed event, Women in Data. For more information, visit our website: www.datatech.org.uk",,N/A,Full-time,
Senior Power BI Analyst,Nigel Frank,Newcastle upon Tyne,United Kingdom,,"A rapidly growing business are looking for a Power BI enthusiast to join their Data team in the role of ""Senior Data Analyst"", as they embark upon a large-scale technology transformation and strive to become truly data-driven.

You will focus largely on the design and delivery of insightful Power BI dashboards for various business groups. You will work directly with stakeholders to uncover requirements, build appropriate reporting solutions, and then present actionable insights to senior leaders to bring about real change.

As a Senior member of the Data team, you will mentor Junior colleagues, foster a growth-orientated culture, and will take a leadership role in driving data initiatives forward. There is already a clear path for progression with the idea being that, in time, this role will turn into a Data Lead role.

This role would be well-suited to someone who is really passionate about Power BI and the power of story-telling with data, where you will have endless opportunities for growth - with plans to harness the latest Microsoft technologies including Fabric, there really couldn't be a better time to join this business!

This role is remote, so is open to candidates across the UK, with an in-person team meet-up once per month to socialise with your colleagues (expenses paid).

Requirements:
• Experience developing end-to-end Power BI dashboards including use of DAX
• Strong SQL skills - including querying and data modelling
• Desire to mentor junior team members
• Experience working on Azure or other cloud platforms would be helpful but not essential
• Experience with scripting languages like Python or R would be helpful but not essential
• Strong communication and stakeholder management skills

Salary:
• Salary from £40-60,000 depending on your level of experience

Please Note: This is a permanent role for UK residents only. This role does not offer Sponsorship. You must have the right to work in the UK with no restrictions. Some of our roles may be subject to successful background checks including a DBS and Credit Check.

Tenth Revolution Group / Nigel Frank are the go-to recruiter for Power BI and Azure Data Platform roles in the UK, offering more opportunities across the country than any other. We're the proud sponsor and supporter of SQLBits, and the London Power BI User Group. To find out more and speak confidentially about your job search or hiring needs, please contact me directly at v.simpson@tenthrevolution.com",,N/A,Full-time,
