work_year,salary,employment_type,industry,job_title,season,company_location,skills,quarter,posting_date
2020.0,56000,FT,Technology,Lead Data Engineer,Winter,US,"ETL, Python, SQL, Spark",4.0,2020-12-14
2020.0,299000,FT,Technology,Machine Learning Engineer,Spring,CN,"Deep Learning, Python, Scikit-learn, TensorFlow",2.0,2020-05-26
2020.0,450000,FT,Finance,Product Data Analyst,Autumn,IN,"Excel, Power BI, SQL, Tableau",4.0,2020-11-03
2020.0,42000,FT,Technology,Data Engineer,Summer,GR,"ETL, Python, SQL, Spark",2.0,2020-06-01
2020.0,98000,FT,Finance,BI Data Analyst,Winter,US,"Excel, Power BI, SQL, Tableau",1.0,2020-02-09
2020.0,115000,FT,Technology,Lead Data Scientist,Summer,AE,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-20
2020.0,325000,FT,General,Director of Data Science,Autumn,US,"Communication, Python, SQL",4.0,2020-10-24
2020.0,42000,FT,Healthcare,Research Scientist,Autumn,NL,"Data Analysis, Python, R, Statistics",4.0,2020-10-26
2020.0,720000,FT,Technology,Data Engineer,Spring,MX,"ETL, Python, SQL, Spark",1.0,2020-03-09
2020.0,100000,CT,Finance,Business Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",2.0,2020-05-08
2020.0,157000,FT,Technology,Machine Learning Manager,Autumn,CA,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2020-11-27
2020.0,51999,FT,Technology,Data Engineering Manager,Spring,DE,"ETL, Python, SQL, Spark",2.0,2020-05-23
2020.0,70000,FT,Technology,Big Data Engineer,Summer,US,"ETL, Python, SQL, Spark",3.0,2020-07-10
2020.0,60000,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-09
2020.0,450000,FT,Healthcare,Research Scientist,Autumn,US,"Data Analysis, Python, R, Statistics",4.0,2020-11-19
2020.0,41000,FT,Finance,Data Analyst,Summer,FR,"Excel, Power BI, SQL, Tableau",3.0,2020-07-28
2020.0,65000,FT,Technology,Data Engineer,Summer,AT,"ETL, Python, SQL, Spark",2.0,2020-06-10
2020.0,103000,FT,General,Data Science Consultant,Spring,US,"Communication, Python, SQL",2.0,2020-05-01
2020.0,250000,FT,Technology,Machine Learning Engineer,Autumn,US,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2020-09-02
2020.0,10000,FT,Finance,Data Analyst,Winter,NG,"Excel, Power BI, SQL, Tableau",1.0,2020-02-13
2020.0,138000,FT,Technology,Machine Learning Engineer,Winter,US,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2020-02-03
2020.0,45760,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-27
2020.0,70000,FT,Technology,Data Engineering Manager,Autumn,ES,"ETL, Python, SQL, Spark",4.0,2020-10-15
2020.0,44000,FT,Technology,Machine Learning Infrastructure Engineer,Winter,PT,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2020-02-05
2020.0,106000,FT,Technology,Data Engineer,Summer,US,"ETL, Python, SQL, Spark",2.0,2020-06-07
2020.0,88000,FT,Technology,Data Engineer,Spring,GB,"ETL, Python, SQL, Spark",2.0,2020-04-18
2020.0,14000,PT,General,ML Engineer,Autumn,DE,"Communication, Python, SQL",4.0,2020-11-25
2020.0,60000,FT,Technology,Data Scientist,Summer,GB,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-09
2020.0,188000,FT,Technology,Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",4.0,2020-11-15
2020.0,105000,FT,Technology,Data Scientist,Spring,US,"Machine Learning, Python, SQL, Statistics",2.0,2020-05-22
2020.0,61500,FT,Technology,Data Engineer,Summer,FR,"ETL, Python, SQL, Spark",2.0,2020-06-17
2020.0,450000,FT,Finance,Data Analyst,Winter,IN,"Excel, Power BI, SQL, Tableau",4.0,2020-12-16
2020.0,91000,FT,Finance,Data Analyst,Autumn,US,"Excel, Power BI, SQL, Tableau",4.0,2020-10-07
2020.0,300000,FT,Technology,AI Scientist,Spring,DK,"Deep Learning, NLP, Neural Networks, Python",2.0,2020-04-11
2020.0,48000,FT,Technology,Data Engineer,Spring,DE,"ETL, Python, SQL, Spark",1.0,2020-03-27
2020.0,60000,FL,General,Computer Vision Engineer,Autumn,US,"Communication, Python, SQL",3.0,2020-09-23
2020.0,130000,FT,Technology,Principal Data Scientist,Spring,DE,"Machine Learning, Python, SQL, Statistics",2.0,2020-04-04
2020.0,34000,FT,Technology,Data Scientist,Summer,ES,"Machine Learning, Python, SQL, Statistics",3.0,2020-08-13
2020.0,118000,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-13
2020.0,120000,FT,Technology,Data Scientist,Winter,US,"Machine Learning, Python, SQL, Statistics",1.0,2020-02-12
2020.0,138350,FT,Technology,Data Scientist,Winter,US,"Machine Learning, Python, SQL, Statistics",1.0,2020-02-23
2020.0,110000,FT,Technology,Data Engineer,Summer,US,"ETL, Python, SQL, Spark",2.0,2020-06-16
2020.0,130800,FT,Technology,Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",4.0,2020-10-03
2020.0,19000,PT,Technology,Data Scientist,Spring,IT,"Machine Learning, Python, SQL, Statistics",2.0,2020-04-10
2020.0,412000,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",3.0,2020-08-11
2020.0,40000,FT,Technology,Machine Learning Engineer,Summer,HR,"Deep Learning, Python, Scikit-learn, TensorFlow",2.0,2020-06-26
2020.0,55000,FT,Technology,Data Scientist,Spring,DE,"Machine Learning, Python, SQL, Statistics",1.0,2020-03-20
2020.0,43200,FT,Technology,Data Scientist,Autumn,DE,"Machine Learning, Python, SQL, Statistics",4.0,2020-10-10
2020.0,190200,FT,General,Data Science Manager,Winter,US,"Communication, Python, SQL",4.0,2020-12-21
2020.0,105000,FT,Technology,Data Scientist,Winter,US,"Machine Learning, Python, SQL, Statistics",1.0,2020-02-28
2020.0,80000,FT,Technology,Data Scientist,Spring,AT,"Machine Learning, Python, SQL, Statistics",2.0,2020-05-10
2020.0,55000,FT,Technology,Data Scientist,Summer,LU,"Machine Learning, Python, SQL, Statistics",2.0,2020-06-16
2020.0,37000,FT,Technology,Data Scientist,Summer,FR,"Machine Learning, Python, SQL, Statistics",3.0,2020-08-02
2021.0,60000,FT,Healthcare,Research Scientist,Winter,GB,"Data Analysis, Python, R, Statistics",1.0,2021-01-05
2021.0,150000,FT,Finance,BI Data Analyst,Autumn,US,"Excel, Power BI, SQL, Tableau",4.0,2021-11-03
2021.0,235000,FT,General,Head of Data,Autumn,US,"Communication, Python, SQL",4.0,2021-10-09
2021.0,45000,FT,Technology,Data Scientist,Summer,FR,"Machine Learning, Python, SQL, Statistics",3.0,2021-07-07
2021.0,100000,FT,Finance,BI Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",3.0,2021-08-01
2021.0,400000,PT,General,3D Computer Vision Researcher,Autumn,IN,"Communication, Python, SQL",4.0,2021-10-08
2021.0,270000,CT,General,ML Engineer,Spring,US,"Communication, Python, SQL",2.0,2021-04-13
2021.0,80000,FT,Finance,Data Analyst,Winter,US,"Excel, Power BI, SQL, Tableau",4.0,2021-12-20
2021.0,67000,FT,General,Data Analytics Engineer,Winter,DE,"Communication, Python, SQL",4.0,2021-12-21
2021.0,140000,FT,Technology,Data Engineer,Winter,US,"ETL, Python, SQL, Spark",1.0,2021-02-08
2021.0,68000,FT,Technology,Applied Data Scientist,Summer,CA,"Machine Learning, Python, SQL, Statistics",3.0,2021-07-03
2021.0,40000,FT,Technology,Machine Learning Engineer,Winter,ES,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-01-05
2021.0,130000,FT,General,Director of Data Science,Spring,PL,"Communication, Python, SQL",1.0,2021-03-23
2021.0,110000,FT,Technology,Data Engineer,Summer,PL,"ETL, Python, SQL, Spark",2.0,2021-06-25
2021.0,50000,FT,Finance,Data Analyst,Winter,FR,"Excel, Power BI, SQL, Tableau",1.0,2021-01-07
2021.0,110000,FT,General,Data Analytics Engineer,Autumn,US,"Communication, Python, SQL",3.0,2021-09-16
2021.0,170000,FT,Finance,Lead Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",2.0,2021-06-27
2021.0,80000,FT,Finance,Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",3.0,2021-08-09
2021.0,75000,FT,Finance,Marketing Data Analyst,Summer,DK,"Excel, Power BI, SQL, Tableau",3.0,2021-08-08
2021.0,65000,FT,General,Data Science Consultant,Autumn,DE,"Communication, Python, SQL",3.0,2021-09-01
2021.0,1450000,FT,Finance,Lead Data Analyst,Spring,IN,"Excel, Power BI, SQL, Tableau",1.0,2021-03-11
2021.0,276000,FT,Technology,Lead Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",4.0,2021-10-26
2021.0,2200000,FT,Technology,Data Scientist,Winter,IN,"Machine Learning, Python, SQL, Statistics",1.0,2021-02-26
2021.0,120000,FT,Technology,Cloud Data Engineer,Winter,SG,"ETL, Python, SQL, Spark",1.0,2021-01-10
2021.0,12000,PT,Technology,AI Scientist,Autumn,US,"Deep Learning, NLP, Neural Networks, Python",4.0,2021-11-02
2021.0,450000,FT,Finance,Financial Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",3.0,2021-08-10
2021.0,70000,FT,Technology,Computer Vision Software Engineer,Spring,US,"Git, Java, Python, System Design",2.0,2021-04-02
2021.0,81000,FT,Technology,Computer Vision Software Engineer,Winter,US,"Git, Java, Python, System Design",1.0,2021-01-14
2021.0,75000,FT,Finance,Data Analyst,Autumn,US,"Excel, Power BI, SQL, Tableau",4.0,2021-11-07
2021.0,150000,FT,Technology,Data Engineer,Summer,US,"ETL, Python, SQL, Spark",3.0,2021-07-09
2021.0,11000000,FT,Finance,BI Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",2.0,2021-04-14
2021.0,62000,FT,Finance,Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",1.0,2021-03-22
2021.0,73000,FT,Technology,Data Scientist,Spring,US,"Machine Learning, Python, SQL, Statistics",2.0,2021-04-22
2021.0,37456,FT,Finance,Data Analyst,Summer,GB,"Excel, Power BI, SQL, Tableau",2.0,2021-06-15
2021.0,235000,FT,Healthcare,Research Scientist,Autumn,CA,"Data Analysis, Python, R, Statistics",4.0,2021-11-21
2021.0,115000,FT,Technology,Data Engineer,Winter,US,"ETL, Python, SQL, Spark",4.0,2021-12-22
2021.0,150000,FT,Technology,Data Engineer,Summer,US,"ETL, Python, SQL, Spark",2.0,2021-06-15
2021.0,2250000,FT,Technology,Data Engineer,Summer,IN,"ETL, Python, SQL, Spark",2.0,2021-06-25
2021.0,80000,FT,Technology,Machine Learning Engineer,Summer,DE,"Deep Learning, Python, Scikit-learn, TensorFlow",2.0,2021-06-21
2021.0,82500,FT,Technology,Director of Data Engineering,Spring,GB,"ETL, Python, SQL, Spark",2.0,2021-05-22
2021.0,75000,FT,Technology,Lead Data Engineer,Winter,GB,"ETL, Python, SQL, Spark",1.0,2021-01-05
2021.0,12000,PT,Technology,AI Scientist,Winter,US,"Deep Learning, NLP, Neural Networks, Python",4.0,2021-12-24
2021.0,38400,FT,Technology,Data Engineer,Summer,NL,"ETL, Python, SQL, Spark",2.0,2021-06-27
2021.0,225000,FT,Technology,Machine Learning Scientist,Summer,US,"Deep Learning, Python, Scikit-learn, TensorFlow",2.0,2021-06-23
2021.0,50000,FT,Technology,Data Scientist,Spring,NG,"Machine Learning, Python, SQL, Statistics",2.0,2021-05-18
2021.0,34000,FT,General,Data Science Engineer,Spring,GR,"Communication, Python, SQL",1.0,2021-03-10
2021.0,90000,FT,Finance,Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",1.0,2021-03-02
2021.0,200000,FT,Technology,Data Engineer,Summer,US,"ETL, Python, SQL, Spark",3.0,2021-08-10
2021.0,60000,FT,Technology,Big Data Engineer,Summer,RO,"ETL, Python, SQL, Spark",3.0,2021-08-15
2021.0,200000,FT,Technology,Principal Data Engineer,Summer,US,"ETL, Python, SQL, Spark",3.0,2021-08-11
2021.0,50000,FT,Finance,Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",3.0,2021-07-19
2021.0,80000,FT,Technology,Applied Data Scientist,Winter,GB,"Machine Learning, Python, SQL, Statistics",4.0,2021-12-04
2021.0,8760,PT,Finance,Data Analyst,Winter,ES,"Excel, Power BI, SQL, Tableau",1.0,2021-01-20
2021.0,151000,FT,Technology,Principal Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",2.0,2021-06-17
2021.0,120000,FT,Technology,Machine Learning Scientist,Winter,US,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-12-22
2021.0,700000,FT,Technology,Data Scientist,Summer,IN,"Machine Learning, Python, SQL, Statistics",3.0,2021-07-25
2021.0,20000,FT,Technology,Machine Learning Engineer,Summer,IN,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2021-08-09
2021.0,3000000,FT,Technology,Lead Data Scientist,Summer,IN,"Machine Learning, Python, SQL, Statistics",3.0,2021-08-23
2021.0,100000,FT,Technology,Machine Learning Developer,Winter,IQ,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-02-07
2021.0,42000,FT,Technology,Data Scientist,Winter,FR,"Machine Learning, Python, SQL, Statistics",4.0,2021-12-22
2021.0,38400,FT,Technology,Applied Machine Learning Scientist,Spring,US,"Deep Learning, Python, Scikit-learn, TensorFlow",2.0,2021-05-09
2021.0,24000,FT,General,Computer Vision Engineer,Summer,BR,"Communication, Python, SQL",2.0,2021-06-01
2021.0,100000,FT,Technology,Data Scientist,Spring,US,"Machine Learning, Python, SQL, Statistics",2.0,2021-04-24
2021.0,90000,FT,Finance,Data Analyst,Summer,US,"Excel, Power BI, SQL, Tableau",3.0,2021-07-23
2021.0,7000000,FT,General,ML Engineer,Spring,JP,"Communication, Python, SQL",2.0,2021-05-19
2021.0,8500000,FT,General,ML Engineer,Summer,JP,"Communication, Python, SQL",2.0,2021-06-13
2021.0,220000,FT,Technology,Principal Data Scientist,Spring,US,"Machine Learning, Python, SQL, Statistics",2.0,2021-05-09
2021.0,80000,FT,Technology,Data Scientist,Winter,US,"Machine Learning, Python, SQL, Statistics",1.0,2021-02-12
2021.0,135000,FT,Finance,Data Analyst,Spring,US,"Excel, Power BI, SQL, Tableau",2.0,2021-04-17
2021.0,240000,FT,General,Data Science Manager,Winter,US,"Communication, Python, SQL",1.0,2021-01-09
2021.0,150000,FT,Technology,Data Engineering Manager,Autumn,US,"ETL, Python, SQL, Spark",4.0,2021-10-17
2021.0,82500,FT,Technology,Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",4.0,2021-10-24
2021.0,100000,FT,Technology,Data Engineer,Winter,US,"ETL, Python, SQL, Spark",4.0,2021-12-13
2021.0,70000,FT,Technology,Machine Learning Engineer,Winter,BE,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-02-23
2021.0,53000,FT,Healthcare,Research Scientist,Winter,FR,"Data Analysis, Python, R, Statistics",1.0,2021-01-03
2021.0,90000,FT,Technology,Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",4.0,2021-11-12
2021.0,153000,FT,Technology,Data Engineering Manager,Summer,US,"ETL, Python, SQL, Spark",3.0,2021-08-02
2021.0,160000,FT,Technology,Cloud Data Engineer,Winter,US,"ETL, Python, SQL, Spark",1.0,2021-02-10
2021.0,168000,FT,General,Director of Data Science,Spring,JP,"Communication, Python, SQL",2.0,2021-05-04
2021.0,150000,FT,Technology,Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",3.0,2021-09-16
2021.0,95000,FT,Technology,Data Scientist,Spring,CA,"Machine Learning, Python, SQL, Statistics",2.0,2021-04-11
2021.0,13400,FT,Technology,Data Scientist,Summer,UA,"Machine Learning, Python, SQL, Statistics",3.0,2021-08-08
2021.0,144000,FT,General,Data Science Manager,Winter,US,"Communication, Python, SQL",1.0,2021-01-27
2021.0,159500,FT,General,Data Science Engineer,Spring,CA,"Communication, Python, SQL",1.0,2021-03-12
2021.0,160000,FT,Technology,Data Scientist,Autumn,IL,"Machine Learning, Python, SQL, Statistics",4.0,2021-10-07
2021.0,423000,FT,Technology,Applied Machine Learning Scientist,Spring,US,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-03-22
2021.0,120000,FT,General,Data Analytics Manager,Autumn,US,"Communication, Python, SQL",3.0,2021-09-04
2021.0,125000,FT,Technology,Machine Learning Engineer,Spring,US,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-03-10
2021.0,230000,FT,General,Head of Data,Spring,RU,"Communication, Python, SQL",2.0,2021-04-23
2021.0,85000,FT,General,Head of Data Science,Summer,RU,"Communication, Python, SQL",3.0,2021-08-04
2021.0,24000,FT,Technology,Data Engineer,Summer,MT,"ETL, Python, SQL, Spark",3.0,2021-07-26
2021.0,54000,FT,General,Data Science Consultant,Winter,DE,"Communication, Python, SQL",1.0,2021-01-15
2021.0,110000,FT,General,Director of Data Science,Spring,DE,"Communication, Python, SQL",2.0,2021-04-02
2021.0,165000,FT,General,Data Specialist,Autumn,US,"Communication, Python, SQL",4.0,2021-11-26
2021.0,80000,FT,Technology,Data Engineer,Winter,US,"ETL, Python, SQL, Spark",4.0,2021-12-16
2021.0,250000,FT,General,Director of Data Science,Autumn,US,"Communication, Python, SQL",4.0,2021-11-06
2021.0,55000,FT,Finance,BI Data Analyst,Winter,US,"Excel, Power BI, SQL, Tableau",1.0,2021-02-27
2021.0,150000,FT,General,Data Architect,Autumn,US,"Communication, Python, SQL",3.0,2021-09-16
2021.0,170000,FT,General,Data Architect,Summer,US,"Communication, Python, SQL",3.0,2021-07-13
2021.0,60000,FT,Technology,Data Engineer,Autumn,GB,"ETL, Python, SQL, Spark",4.0,2021-10-02
2021.0,60000,FT,Finance,Data Analyst,Autumn,US,"Excel, Power BI, SQL, Tableau",4.0,2021-11-08
2021.0,235000,FT,Technology,Principal Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",4.0,2021-11-21
2021.0,51400,FT,Healthcare,Research Scientist,Spring,PT,"Data Analysis, Python, R, Statistics",1.0,2021-03-26
2021.0,174000,FT,Technology,Data Engineering Manager,Summer,US,"ETL, Python, SQL, Spark",2.0,2021-06-21
2021.0,58000,FT,Technology,Data Scientist,Winter,MX,"Machine Learning, Python, SQL, Statistics",1.0,2021-01-25
2021.0,30400000,FT,Technology,Data Scientist,Summer,CL,"Machine Learning, Python, SQL, Statistics",2.0,2021-06-14
2021.0,81000,FT,Technology,Machine Learning Engineer,Autumn,US,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2021-09-21
2021.0,420000,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",3.0,2021-08-21
2021.0,1672000,FT,Technology,Big Data Engineer,Autumn,IN,"ETL, Python, SQL, Spark",4.0,2021-10-02
2021.0,76760,FT,Technology,Data Scientist,Summer,DE,"Machine Learning, Python, SQL, Statistics",3.0,2021-07-05
2021.0,22000,FT,Technology,Data Engineer,Spring,US,"ETL, Python, SQL, Spark",2.0,2021-05-16
2021.0,45000,FT,Finance,Finance Data Analyst,Summer,GB,"Excel, Power BI, SQL, Tableau",2.0,2021-06-02
2021.0,12000,FL,Technology,Machine Learning Scientist,Autumn,PK,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-11-03
2021.0,4000,FT,Technology,Data Engineer,Summer,IR,"ETL, Python, SQL, Spark",3.0,2021-07-14
2021.0,50000,FT,General,Data Analytics Engineer,Spring,GB,"Communication, Python, SQL",1.0,2021-03-09
2021.0,59000,FT,General,Data Science Consultant,Autumn,ES,"Communication, Python, SQL",4.0,2021-11-21
2021.0,65000,FT,Technology,Data Engineer,Summer,GB,"ETL, Python, SQL, Spark",2.0,2021-06-11
2021.0,74000,FT,Technology,Machine Learning Engineer,Summer,JP,"Deep Learning, Python, Scikit-learn, TensorFlow",3.0,2021-08-02
2021.0,152000,FT,General,Data Science Manager,Spring,FR,"Communication, Python, SQL",2.0,2021-04-27
2021.0,21844,FT,Technology,Machine Learning Engineer,Winter,CO,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-01-16
2021.0,18000,FT,Technology,Big Data Engineer,Summer,MD,"ETL, Python, SQL, Spark",3.0,2021-08-23
2021.0,174000,FT,General,Data Science Manager,Autumn,US,"Communication, Python, SQL",3.0,2021-09-27
2021.0,120500,FT,Healthcare,Research Scientist,Autumn,CA,"Data Analysis, Python, R, Statistics",3.0,2021-09-27
2021.0,147000,FT,Technology,Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",3.0,2021-09-08
2021.0,9272,FT,Finance,BI Data Analyst,Spring,KE,"Excel, Power BI, SQL, Tableau",2.0,2021-05-09
2021.0,1799997,FT,Technology,Machine Learning Engineer,Autumn,IN,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-11-05
2021.0,4000000,FT,General,Data Science Manager,Winter,US,"Communication, Python, SQL",1.0,2021-01-18
2021.0,90000,FT,General,Data Science Consultant,Winter,US,"Communication, Python, SQL",4.0,2021-12-08
2021.0,52000,FT,Technology,Data Scientist,Spring,AT,"Machine Learning, Python, SQL, Statistics",1.0,2021-03-12
2021.0,195000,FT,Technology,Machine Learning Infrastructure Engineer,Autumn,US,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-10-21
2021.0,32000,FT,Technology,Data Scientist,Winter,ES,"Machine Learning, Python, SQL, Statistics",1.0,2021-02-26
2021.0,50000,FT,Healthcare,Research Scientist,Winter,US,"Data Analysis, Python, R, Statistics",1.0,2021-01-17
2021.0,160000,FT,Technology,Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",4.0,2021-10-26
2021.0,69600,FT,Technology,Data Scientist,Summer,BR,"Machine Learning, Python, SQL, Statistics",3.0,2021-08-11
2021.0,200000,FT,Technology,Machine Learning Engineer,Spring,US,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-03-19
2021.0,165000,FT,Technology,Data Engineer,Winter,US,"ETL, Python, SQL, Spark",4.0,2021-12-25
2021.0,20000,FL,Technology,Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",4.0,2021-11-12
2021.0,120000,FT,General,Data Analytics Manager,Winter,US,"Communication, Python, SQL",4.0,2021-12-26
2021.0,21000,FT,Technology,Machine Learning Engineer,Winter,SI,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-01-26
2021.0,48000,FT,Healthcare,Research Scientist,Spring,FR,"Data Analysis, Python, R, Statistics",1.0,2021-03-04
2021.0,48000,FT,Technology,Data Engineer,Spring,GB,"ETL, Python, SQL, Spark",2.0,2021-04-17
2021.0,435000,FT,Technology,Big Data Engineer,Spring,CH,"ETL, Python, SQL, Spark",2.0,2021-05-03
2021.0,21000,FT,Technology,Machine Learning Engineer,Winter,DE,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-02-17
2021.0,185000,FT,Technology,Principal Data Engineer,Autumn,US,"ETL, Python, SQL, Spark",3.0,2021-09-04
2021.0,180000,PT,General,Computer Vision Engineer,Autumn,DK,"Communication, Python, SQL",4.0,2021-10-01
2021.0,76760,FT,Technology,Data Scientist,Winter,DE,"Machine Learning, Python, SQL, Statistics",1.0,2021-02-25
2021.0,75000,FT,Technology,Machine Learning Engineer,Winter,BE,"Deep Learning, Python, Scikit-learn, TensorFlow",1.0,2021-01-20
2021.0,140000,FT,General,Data Analytics Manager,Summer,US,"Communication, Python, SQL",3.0,2021-07-04
2021.0,180000,FT,Technology,Machine Learning Engineer,Autumn,PL,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-11-06
2021.0,85000,FT,Technology,Data Scientist,Summer,GB,"Machine Learning, Python, SQL, Statistics",3.0,2021-08-20
2021.0,2500000,FT,Technology,Data Scientist,Winter,IN,"Machine Learning, Python, SQL, Statistics",1.0,2021-02-19
2021.0,40900,FT,Technology,Data Scientist,Winter,GB,"Machine Learning, Python, SQL, Statistics",1.0,2021-01-02
2021.0,225000,FT,Technology,Machine Learning Scientist,Winter,CA,"Deep Learning, Python, Scikit-learn, TensorFlow",4.0,2021-12-09
2021.0,416000,CT,Technology,Principal Data Scientist,Autumn,US,"Machine Learning, Python, SQL, Statistics",3.0,2021-09-01
2021.0,110000,FT,Technology,Data Scientist,Autumn,CA,"Machine Learning, Python, SQL, Statistics",4.0,2021-10-01
2021.0,75000,FT,Technology,Data Scientist,Winter,DE,"Machine Learning, Python, SQL, Statistics",4.0,2021-12-08
2021.0,135000,FT,Technology,Data Scientist,Summer,US,"Machine Learning, Python, SQL, Statistics",3.0,2021-07-16
2021.0,90000,FT,Finance,Data Analyst,Winter,CA,"Excel, Power BI, SQL, Tableau",1.0,2021-01-19
2021.0,1200000,FT,Technology,Big Data Engineer,Autumn,IN,"ETL, Python, SQL, Spark",3.0,2021-09-04
2021.0,256000,FT,General,ML Engineer,Spring,US,"Communication, Python, SQL",2.0,2021-04-18
2021.0,200000,FT,Technology,Director of Data Engineering,Summer,US,"ETL, Python, SQL, Spark",3.0,2021-08-05
2021.0,200000,FT,Finance,Data Analyst,Winter,US,"Excel, Power BI, SQL, Tableau",4.0,2021-12-10
2021.0,180000,FT,General,Data Architect,Winter,US,"Communication, Python, SQL",1.0,2021-02-17
